CustomerID,Age,Gender,Marital Status,Occupation,Educational Qualifications,Family size,Frequently used Medium,Frequently ordered Meal category ,Perference,Restaurnat Rating,Delivery Rating,No. of orders placed,Delivery Time,Order Value,Ease and convenient,Self Cooking,Health Concern,Late Delivery,Poor Hygiene,Bad past experience,More Offers and Discount,Maximum wait time,Influence of rating
CUS097,26,Male,Single,Employee,Post Graduate,2,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),1,4,224,49,2,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Disagree,45 minutes,Yes
CUS098,25,Male,Single,Student,Post Graduate,1,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,4,228,54,3,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,30 minutes,Yes
CUS099,25,Male,Single,Employee,Graduate,2,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,1,86,43,2,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,30 minutes,No
CUS100,18,Male,Single,Student,Graduate,5,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),1,4,33,19,1,Agree,Agree,Neutral,Agree,Disagree,Disagree,Agree,45 minutes,Yes
CUS101,21,Male,Single,Student,Post Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),5,1,101,59,1,Strongly disagree,Neutral,Agree,Neutral,Neutral,Neutral,Disagree,30 minutes,Yes
CUS102,25,Male,Single,Student,Post Graduate,2,Walk-in,Dinner,Non Veg foods (Lunch / Dinner),2,2,48,13,1,Strongly agree,Neutral,Agree,Agree,Disagree,Neutral,Neutral,45 minutes,Yes
CUS103,23,Male,Single,Employee,Post Graduate,2,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),3,3,210,59,1,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,30 minutes,Yes
CUS104,25,Female,Married,Employee,Graduate,4,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),2,2,188,29,1,Disagree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Disagree,15 minutes,Yes
CUS105,31,Female,Married,House wife,School,5,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),1,3,24,33,1,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,45 minutes,Yes
CUS106,24,Male,Prefer not to say,Self Employeed,Ph.D,2,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,1,127,24,1,Disagree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Disagree,15 minutes,Yes
CUS107,32,Female,Married,Employee,Graduate,5,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),4,2,216,66,2,Strongly agree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,60 minutes,Yes
CUS108,25,Male,Single,Employee,Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),2,1,210,32,2,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,45 minutes,Yes
CUS109,27,Female,Married,Self Employeed,Graduate,5,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),3,5,109,31,3,Disagree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Disagree,30 minutes,Yes
CUS110,26,Male,Single,Self Employeed,Graduate,3,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),5,2,247,49,2,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Strongly agree,More than 60 minutes,No
CUS111,26,Female,Single,Self Employeed,Post Graduate,3,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),5,3,138,53,3,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,30 minutes,Yes
CUS112,32,Male,Married,Employee,Ph.D,5,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,5,219,29,3,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,45 minutes,Yes
CUS113,24,Male,Married,Self Employeed,Ph.D,6,Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner),2,5,60,45,2,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly disagree,30 minutes,Yes
CUS114,27,Female,Married,Self Employeed,Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,2,116,22,2,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,30 minutes,Yes
CUS115,23,Male,Single,Student,Post Graduate,3,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,3,203,52,3,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,30 minutes,No
CUS116,25,Male,Single,Student,Post Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),4,2,165,46,1,Strongly agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,30 minutes,Yes
CUS117,28,Male,Married,Employee,Post Graduate,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),3,2,212,59,1,Agree,Strongly disagree,Disagree,Agree,Disagree,Strongly disagree,Strongly agree,60 minutes,No
CUS118,32,Female,Married,Employee,Graduate,1,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),4,1,125,34,2,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Strongly agree,30 minutes,Yes
CUS119,23,Male,Single,Student,Post Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,2,101,53,1,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Strongly agree,30 minutes,Yes
CUS120,19,Male,Single,Student,Graduate,2,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),3,4,202,23,2,Agree,Disagree,Strongly disagree,Agree,Disagree,Agree,Disagree,15 minutes,No
CUS121,19,Female,Single,Student,Graduate,4,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),5,4,166,28,2,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,45 minutes,Yes
CUS122,27,Female,Married,Employee,Post Graduate,2,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),5,3,212,58,1,Agree,Neutral,Strongly agree,Agree,Neutral,Agree,Neutral,30 minutes,Yes
CUS123,25,Male,Single,Self Employeed,Graduate,3,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),1,3,235,46,3,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,30 minutes,Yes
CUS124,33,Male,Married,Employee,Ph.D,5,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),5,2,126,47,3,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,30 minutes,Yes
CUS125,26,Female,Single,Employee,Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,2,28,18,3,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Strongly agree,45 minutes,No
CUS126,22,Female,Single,Student,Post Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),5,2,58,40,2,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,45 minutes,Yes
CUS127,23,Male,Single,Student,Post Graduate,3,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),3,4,159,32,3,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,30 minutes,Yes
CUS128,22,Female,Single,Student,Graduate,3,Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner),5,5,216,39,1,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Strongly agree,45 minutes,Yes
CUS129,25,Male,Married,Employee,Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,1,184,51,2,Disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,45 minutes,Maybe
CUS130,30,Female,Married,House wife,School,5,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),4,1,151,55,2,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly agree,30 minutes,No
CUS131,24,Male,Single,Student,Post Graduate,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),5,1,194,11,3,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,15 minutes,Yes
CUS132,25,Male,Single,Employee,Post Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,3,150,52,3,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,45 minutes,No
CUS133,23,Male,Single,Student,Post Graduate,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),3,4,122,31,3,Strongly agree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,45 minutes,Yes
CUS134,24,Female,Single,Student,Post Graduate,4,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),2,4,110,58,1,Agree,Neutral,Strongly agree,Neutral,Strongly agree,Agree,Neutral,30 minutes,No
CUS135,32,Male,Married,Employee,Graduate,4,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),2,4,175,39,3,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,30 minutes,Yes
CUS136,22,Male,Single,Student,Post Graduate,4,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),2,2,242,54,3,Neutral,Disagree,Neutral,Agree,Disagree,Neutral,Agree,30 minutes,Yes
CUS137,20,Male,Single,Student,Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),1,4,48,30,3,Agree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly agree,30 minutes,Yes
CUS138,21,Male,Single,Student,Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,1,128,42,3,Agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,30 minutes,Yes
CUS139,24,Female,Married,Self Employeed,Graduate,5,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),3,1,172,18,1,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,45 minutes,Yes
CUS140,25,Male,Single,Employee,Post Graduate,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),1,5,235,22,2,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,30 minutes,Yes
CUS141,32,Female,Married,House wife,Graduate,3,Direct call,Snacks,Non Veg foods (Lunch / Dinner),4,4,237,64,2,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,60 minutes,Yes
CUS142,27,Male,Married,Employee,Ph.D,5,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,4,169,12,3,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,15 minutes,Yes
CUS143,20,Female,Single,Student,Graduate,2,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,1,48,40,2,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Strongly agree,45 minutes,Yes
CUS144,21,Male,Single,Student,Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),1,1,98,26,2,Agree,Disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly agree,45 minutes,Yes
CUS145,26,Male,Single,Employee,Post Graduate,3,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),4,3,201,25,3,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,15 minutes,Yes
CUS146,25,Male,Single,Employee,Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),4,4,56,53,2,Strongly agree,Agree,Neutral,Strongly agree,Disagree,Neutral,Strongly agree,45 minutes,Yes
CUS147,26,Male,Single,Employee,Post Graduate,3,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),2,1,250,50,3,Agree,Disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly agree,More than 60 minutes,No
CUS148,26,Female,Married,Employee,Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),2,5,61,15,1,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,30 minutes,Yes
CUS149,27,Male,Single,Employee,Ph.D,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),1,4,140,17,3,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,15 minutes,Maybe
CUS150,27,Female,Single,Student,Ph.D,5,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),5,5,78,23,1,Disagree,Agree,Neutral,Agree,Agree,Agree,Strongly disagree,15 minutes,Yes
CUS151,24,Female,Single,Student,Post Graduate,5,Food delivery apps,Breakfast,Veg foods (Breakfast / Lunch / Dinner),2,2,248,26,1,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Disagree,45 minutes,Yes
CUS152,25,Male,Married,Self Employeed,School,2,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),2,5,197,36,1,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly agree,45 minutes,Yes
CUS153,20,Male,Single,Student,Graduate,2,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),4,2,33,10,1,Disagree,Agree,Agree,Agree,Neutral,Agree,Disagree,15 minutes,Yes
CUS154,22,Male,Single,Student,Post Graduate,1,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),4,4,104,72,1,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,More than 60 minutes,Maybe
CUS155,26,Female,Married,Student,Ph.D,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),5,2,137,63,1,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,30 minutes,Yes
CUS156,27,Male,Prefer not to say,Employee,Post Graduate,1,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),4,2,134,21,1,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,45 minutes,Yes
CUS157,25,Female,Single,Student,Post Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),2,4,201,15,3,Agree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,30 minutes,Maybe
CUS158,24,Male,Single,Employee,Graduate,2,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),3,1,62,12,2,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Strongly agree,30 minutes,Yes
CUS159,23,Female,Single,Employee,Graduate,6,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),3,2,78,47,2,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,45 minutes,Yes
CUS160,22,Male,Single,Student,Graduate,2,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,5,126,42,1,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,45 minutes,Yes
CUS161,26,Male,Married,Self Employeed,Post Graduate,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),1,1,85,51,1,Strongly disagree,Agree,Strongly agree,Agree,Agree,Disagree,Disagree,60 minutes,No
CUS162,26,Male,Single,Employee,Post Graduate,1,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,3,179,50,3,Agree,Disagree,Disagree,Disagree,Strongly disagree,Neutral,Agree,30 minutes,Yes
CUS163,25,Female,Married,Self Employeed,Post Graduate,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),5,2,26,12,2,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Disagree,30 minutes,Yes
CUS164,29,Female,Married,Employee,Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,4,55,37,1,Neutral,Agree,Agree,Agree,Neutral,Agree,Disagree,45 minutes,Yes
CUS165,23,Male,Single,Student,Graduate,3,Direct call,Dinner,Veg foods (Breakfast / Lunch / Dinner),1,1,105,28,1,Agree,Agree,Agree,Agree,Agree,Agree,Agree,45 minutes,Maybe
CUS166,22,Female,Single,Employee,Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),5,5,198,22,2,Agree,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,45 minutes,Yes
CUS167,22,Male,Single,Student,Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),4,2,122,14,2,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,15 minutes,Yes
CUS168,32,Female,Married,House wife,School,5,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),2,5,72,63,2,Agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly agree,60 minutes,Yes
CUS169,28,Male,Married,Employee,Post Graduate,1,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),1,2,214,41,1,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,45 minutes,Yes
CUS170,22,Male,Single,Student,Post Graduate,2,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),4,5,254,31,2,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,30 minutes,Yes
CUS171,25,Male,Single,Employee,Graduate,2,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),1,2,88,74,3,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,60 minutes,Yes
CUS172,26,Female,Married,Employee,Post Graduate,2,Food delivery apps,Dinner,Veg foods (Breakfast / Lunch / Dinner),5,2,34,21,1,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,30 minutes,No
CUS173,31,Male,Married,Self Employeed,School,6,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),2,4,218,48,1,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,45 minutes,Yes
CUS174,24,Male,Single,Student,Post Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),2,3,66,17,1,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,45 minutes,No
CUS175,24,Male,Single,Employee,Post Graduate,2,Food delivery apps,Snacks,Veg foods (Breakfast / Lunch / Dinner),4,1,93,60,3,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,30 minutes,Yes
CUS176,31,Female,Married,Employee,Ph.D,5,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),4,5,94,59,2,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Strongly agree,60 minutes,No
CUS177,26,Male,Single,Employee,Graduate,2,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),3,4,29,23,1,Disagree,Agree,Agree,Strongly agree,Agree,Agree,Strongly disagree,45 minutes,Maybe
CUS178,24,Female,Married,Self Employeed,Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,2,51,65,1,Agree,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,More than 60 minutes,Yes
CUS179,22,Female,Single,Student,Graduate,3,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,2,67,13,3,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,30 minutes,Yes
CUS180,19,Male,Single,Student,Graduate,6,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),5,3,82,30,1,Agree,Agree,Disagree,Disagree,Neutral,Disagree,Strongly agree,15 minutes,Yes
CUS181,25,Male,Married,Employee,Post Graduate,6,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),3,1,111,19,2,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neutral,45 minutes,Yes
CUS182,23,Female,Married,House wife,School,6,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),5,5,252,64,3,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,More than 60 minutes,No
CUS183,23,Female,Single,Student,Graduate,2,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),4,4,36,44,1,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Disagree,30 minutes,Yes
CUS184,23,Male,Single,Student,Post Graduate,2,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),3,4,28,26,1,Agree,Disagree,Disagree,Agree,Disagree,Neutral,Agree,45 minutes,Yes
CUS185,24,Male,Single,Student,Post Graduate,5,Food delivery apps,Breakfast,Veg foods (Breakfast / Lunch / Dinner),4,3,23,61,3,Strongly agree,Disagree,Agree,Disagree,Disagree,Disagree,Neutral,30 minutes,Yes
CUS186,22,Female,Single,Employee,Graduate,4,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),2,4,98,52,3,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,45 minutes,Yes
CUS187,26,Male,Married,Employee,Graduate,4,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),5,1,57,15,1,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,45 minutes,Yes
CUS188,25,Female,Single,Student,Ph.D,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),5,2,63,16,3,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,45 minutes,No
CUS189,20,Male,Single,Student,Graduate,2,Food delivery apps,Lunch,Non Veg foods (Lunch / Dinner),3,2,89,38,2,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Strongly agree,45 minutes,Yes
CUS190,29,Male,Married,Employee,Graduate,4,Food delivery apps,Dinner,Non Veg foods (Lunch / Dinner),3,1,151,10,2,Disagree,Agree,Strongly agree,Disagree,Neutral,Agree,Strongly disagree,15 minutes,Maybe
CUS191,23,Female,Single,Student,Graduate,1,Food delivery apps,Breakfast,Non Veg foods (Lunch / Dinner),4,3,243,17,1,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,15 minutes,No
CUS192,25,Male,Single,Self Employeed,Graduate,2,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),3,3,87,26,1,Agree,Agree,Agree,Neutral,Disagree,Disagree,Agree,30 minutes,Yes
CUS193,29,Female,Married,Employee,Graduate,4,Food delivery apps,Lunch,Veg foods (Breakfast / Lunch / Dinner),5,5,205,23,1,Disagree,Agree,Agree,Agree,Agree,Disagree,Strongly disagree,15 minutes,Yes
CUS194,27,Male,Married,Self Employeed,Graduate,6,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),1,3,190,63,2,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,60 minutes,Yes
CUS195,25,Male,Single,Self Employeed,Graduate,3,Food delivery apps,Snacks,Non Veg foods (Lunch / Dinner),5,4,34,58,3,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Agree,60 minutes,No
